composer	composer_first	work_group	work catalogue	opus	no	mov	title	composition	publication	pages	prio	done	by	time	est_time	CHF	comment	source	filename	parsed	no_notes	Unnamed: 22	entropy	comp_ID	fifth_width	display_year
Alkan	Charles Valentin	Esquisses	Op.	63	5			1861.0				1.0	ClassicMan					MS	1084156-Esquisse_Opus_63_No._5_in_E_Major.mxl	1.0	1398.0		0.3142216944665506	1.0	19.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	6			1861.0				1.0	ClassicMan					MS	1116741-Esquisse_Opus_63_No._6_in_A_Minor.mxl	1.0	1017.0		0.08113900537913503	1.0	12.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	7			1861.0				1.0	ClassicMan					MS	1150676-Esquisse_Opus_63_No._7_in_F_Major.mxl	1.0	1136.0		0.4118203295274414	1.0	20.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	8			1861.0				1.0	ClassicMan					MS	1188926-Esquisse_Opus_63_No._8_in_B_Minor.mxl	1.0	471.0		0.0	1.0	11.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	9			1861.0				1.0	ClassicMan					MS	1226261-Esquisse_Opus_63_No._9_in_A_Major.mxl	1.0	1029.0		0.3486244038157201	1.0	22.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	10			1861.0				1.0	ClassicMan					MS	1271551-Esquisse_Opus_63_No._10_in_C_Minor.mxl	1.0	1568.0		0.40967373168056015	1.0	22.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	11			1861.0				1.0	ClassicMan					MS	1316746-Esquisse_Opus_63_No._11_in_B_Major.mxl	1.0	747.0		0.12017273067038302	1.0	13.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	12			1861.0				1.0	ClassicMan					MS	1364896-Esquisse_Opus_63_No._12_in_E_Minor.mxl	1.0	771.0		0.024318188049907152	1.0	13.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	13			1861.0				1.0	ClassicMan					MS	1417566-Esquisse_Opus_63_No._13_in_C_Minor.mxl	1.0	890.0		0.10080416378642076	1.0	14.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	14			1861.0				1.0	ClassicMan					MS	1471411-Esquisse_Opus_63_No._14_in_F_Major.mxl	1.0	1251.0		0.21626635963525687	1.0	18.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	15			1861.0				1.0	ClassicMan					MS	1523471-Esquisse_Opus_63_No._15_in_D_Minor.mxl	1.0	847.0		0.13675820679054804	1.0	14.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	16			1861.0				1.0	ClassicMan					MS	1570876-Esquisse_Opus_63_No._16_in_G_Major.mxl	1.0	1217.0		0.2428769182186873	1.0	20.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	17			1861.0				1.0	ClassicMan					MS	1620951-Esquisse_Opus_63_No._17_in_E_Minor.mxl	1.0	305.0		0.22742920802055305	1.0	14.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	18			1861.0				1.0	ClassicMan					MS	1676431-Esquisse_Opus_63_No._18_in_A_Major.mxl	1.0	354.0		0.09370138773485692	1.0	14.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	19			1861.0				1.0	ClassicMan					MS	1734366-Esquisse_Opus_63_No._19_in_F_Minor.mxl	1.0	554.0		0.08333333333333333	1.0	12.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	20			1861.0				1.0	ClassicMan					MS	1794856-Esquisse_Opus_63_No._20_in_B_Major.mxl	1.0	941.0		0.032603630302437965	1.0	12.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	21			1861.0				1.0	ClassicMan					MS	1852681-Esquisse_Opus_63_No._21_in_G_Minor.mxl	1.0	649.0		0.13069318797523696	1.0	15.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	22			1861.0				1.0	ClassicMan					MS	1907541-Esquisse_Opus_63_No._22_in_D_Major.mxl	1.0	355.0		0.0	1.0	9.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	23			1861.0				1.0	ClassicMan					MS	1965216-Esquisse_Opus_63_No._23_in_B_Minor.mxl	1.0	387.0		0.13226683079005974	1.0	19.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	24			1861.0				1.0	ClassicMan					MS	2022616-Esquisse_Opus_63_No._24_in_E_Major.mxl	1.0	1110.0		0.1218374947968127	1.0	14.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	25			1861.0				1.0	ClassicMan					MS	2095041-Esquisse_Opus_63_No._25_in_C_Major.mxl	1.0	717.0		0.3181811515259995	1.0	19.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	26			1861.0				1.0	ClassicMan					MS	2157291-Esquisse_Opus_63_No._26_in_G_Minor.mxl	1.0	137.0		0.0	1.0	10.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	27			1861.0				1.0	ClassicMan					MS	2219776-Esquisse_Opus_63_No._27_in_D_Major.mxl	1.0	137.0		0.0	1.0	10.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	28			1861.0				1.0	ClassicMan					MS	2279071-Esquisse_Opus_63_No._28_in_A_Minor.mxl	1.0	706.0		0.10570190361449654	1.0	13.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	29			1861.0				1.0	ClassicMan					MS	2332581-Esquisse_Opus_63_No._29_in_E_Major.mxl	1.0	968.0		0.3389182953565639	1.0	19.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	30			1861.0				1.0	ClassicMan					MS	2385381-Esquisse_Opus_63_No._30_in_B_Minor.mxl	1.0	873.0		0.03147052678114168	1.0	13.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	31			1861.0				1.0	ClassicMan					MS	2434421-Esquisse_Opus_63_No._31_in_F_Major.mxl	1.0	757.0		0.1754458445905345	1.0	17.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	32			1861.0				1.0	ClassicMan					MS	2489666-Esquisse_Opus_63_No._32_in_C_Minor.mxl	1.0	1183.0		0.1874472098383324	1.0	17.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	33			1861.0				1.0	ClassicMan					MS	2537396-Esquisse_Opus_63_No._33_in_A_Major.mxl	1.0	364.0		0.08348143945949904	1.0	15.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	34			1861.0				1.0	ClassicMan					MS	2638876-Esquisse_Opus_63_No._34_in_E_Minor.mxl	1.0	442.0		0.0	1.0	10.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	35			1861.0				1.0	ClassicMan					MS	2825166-Esquisse_Opus_63_No._35_in_B_Major.mxl	1.0	1143.0		0.2550358724087945	1.0	17.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	36			1861.0				1.0	ClassicMan					MS	3179421-Esquisse_Opus_63_No._36_in_F_Minor.mxl	1.0	847.0		0.2304278823183029	1.0	19.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	37			1861.0				1.0	ClassicMan					MS	4105371-Esquisse_Opus_63_No._37_in_C_Minor.mxl	1.0	1074.0		0.2222386058021892	1.0	19.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	38			1861.0				1.0	ClassicMan					MS	4175356-Esquisse_Opus_63_No._38_in_G_Major.mxl	1.0	715.0		0.240928769000347	1.0	15.0	1861.0
